prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
CACEVR01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6072314,isolate: AG-907-G16,isolation_source: marine water,789933,60,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACEWU01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6075515,isolate: AG-404-L15,isolation_source: marine water,1251036,58,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMJF01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6074670,isolate: AG-918-O16,isolation_source: marine water,402919,21,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMKY01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6074686,isolate: AG-919-A15,isolation_source: marine water,1096185,68,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMLG01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069568,isolate: AG-891-L07,isolation_source: marine water,944530,50,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMLO01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069572,isolate: AG-891-L11,isolation_source: marine water,1027259,47,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMNZ01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069606,isolate: AG-891-O02,isolation_source: marine water,756476,33,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMOD01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6074729,isolate: AG-919-E02,isolation_source: marine water,1097394,45,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMQW01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069643,isolate: AG-892-A13,isolation_source: marine water,277433,35,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMRI01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069649,isolate: AG-892-A23,isolation_source: marine water,1331855,39,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMSA01,WGS,,ENV,uncultured Synechococcus sp.,PRJEB33281,SAMEA6074780,isolate: AG-919-I18,isolation_source: marine water,964025,60,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMSM01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6074791,isolate: AG-919-J11,isolation_source: marine water,1498417,45,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMTC01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6074794,isolate: AG-919-J19,isolation_source: marine water,755177,72,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMTE01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6074797,isolate: AG-919-K04,isolation_source: marine water,1052988,52,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMTJ01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069676,isolate: AG-892-C17,isolation_source: marine water,1289582,39,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMTS01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069680,isolate: AG-892-C23,isolation_source: marine water,798874,40,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMUV01,WGS,,ENV,uncultured Synechococcus sp.,PRJEB33281,SAMEA6074818,isolate: AG-919-L20,isolation_source: marine water,526591,45,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMXO01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069730,isolate: AG-892-G09,isolation_source: marine water,1173989,45,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMYI01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069734,isolate: AG-892-G17,isolation_source: marine water,946196,53,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACMZV01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069755,isolate: AG-892-J05,isolation_source: marine water,1232387,50,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNAG01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069761,isolate: AG-892-J14,isolation_source: marine water,1060214,69,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNAI01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069764,isolate: AG-892-J18,isolation_source: marine water,1082858,51,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNAS01,WGS,,ENV,uncultured Synechococcus sp.,PRJEB33281,SAMEA6069768,isolate: AG-892-K03,isolation_source: marine water,772991,43,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNCC01,WGS,,ENV,uncultured Synechococcus sp.,PRJEB33281,SAMEA6074921,isolate: AG-920-D15,isolation_source: marine water,990183,54,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNCF01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069783,isolate: AG-892-L04,isolation_source: marine water,1073069,38,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNDQ01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6074940,isolate: AG-920-F09,isolation_source: marine water,565691,63,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNEE01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6074946,isolate: AG-920-F21,isolation_source: marine water,682238,21,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNFQ01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069832,isolate: AG-892-O15,isolation_source: marine water,1057217,61,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNFR01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069838,isolate: AG-892-O21,isolation_source: marine water,954098,53,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNGR01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6074980,isolate: AG-920-J16,isolation_source: marine water,1436090,50,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNJU01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6075017,isolate: AG-920-M14,isolation_source: marine water,1502962,49,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNJX01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069883,isolate: AG-893-D02,isolation_source: marine water,899645,72,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNMD01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069921,isolate: AG-893-G02,isolation_source: marine water,696276,28,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNMF01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069918,isolate: AG-893-F20,isolation_source: marine water,1258698,34,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNMX01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069926,isolate: AG-893-G11,isolation_source: marine water,1177735,47,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNNF01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6075063,isolate: AG-921-F11,isolation_source: marine water,209617,18,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNPL01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069961,isolate: AG-893-J19,isolation_source: marine water,1207298,51,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNQB01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069969,isolate: AG-893-K05,isolation_source: marine water,1516617,18,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNQI01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6067678,isolate: AH-287-A06,isolation_source: marine water,850428,37,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNQS01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069979,isolate: AG-893-K23,isolation_source: marine water,1261235,56,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNQT01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069981,isolate: AG-893-L03,isolation_source: marine water,1179312,49,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNSB01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069997,isolate: AG-893-M04,isolation_source: marine water,672827,34,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNSF01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6069995,isolate: AG-893-M02,isolation_source: marine water,1188320,47,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNSG01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6067702,isolate: AH-287-B10,isolation_source: marine water,798665,33,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNSV01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6067710,isolate: AH-287-B22,isolation_source: marine water,1205554,82,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNUB01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6067726,isolate: AH-287-C20,isolation_source: marine water,1233314,61,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNUL01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6070026,isolate: AG-893-O07,isolation_source: marine water,1040588,61,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNVU01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6070046,isolate: AG-893-P13,isolation_source: marine water,977896,51,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNWD01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6067755,isolate: AH-287-E15,isolation_source: marine water,1062288,45,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNWG01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6070049,isolate: AG-893-P17,isolation_source: marine water,1056403,41,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNWH01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6067756,isolate: AH-287-E16,isolation_source: marine water,1103991,49,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACNYU01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6067815,isolate: AH-287-J03,isolation_source: marine water,1121018,63,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOAG01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6067851,isolate: AH-287-K23,isolation_source: marine water,884711,52,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOAN01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6067861,isolate: AH-287-L15,isolation_source: marine water,1113235,68,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOAY01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6067873,isolate: AH-287-M08,isolation_source: marine water,1191421,45,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOBU01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6067894,isolate: AH-287-N11,isolation_source: marine water,1240348,46,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOCO01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6067911,isolate: AH-287-O10,isolation_source: marine water,1060458,49,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOCT01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6067916,isolate: AH-287-O17,isolation_source: marine water,1175750,59,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOER01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068174,isolate: AH-321-B17,isolation_source: marine water,218476,13,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOEX01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068175,isolate: AH-321-B19,isolation_source: marine water,1572835,56,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOFD01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068182,isolate: AH-321-C04,isolation_source: marine water,790142,40,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOFK01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068193,isolate: AH-321-C19,isolation_source: marine water,1244555,67,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOFO01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068190,isolate: AH-321-C15,isolation_source: marine water,1075174,66,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOFR01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068189,isolate: AH-321-C14,isolation_source: marine water,1526586,44,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOHO01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068247,isolate: AH-321-G07,isolation_source: marine water,1006983,71,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOIJ01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068270,isolate: AH-321-I18,isolation_source: marine water,386346,18,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOIM01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068275,isolate: AH-321-J03,isolation_source: marine water,953703,53,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOIV01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068285,isolate: AH-321-J17,isolation_source: marine water,1312475,68,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOIW01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068283,isolate: AH-321-J15,isolation_source: marine water,1075977,63,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOIZ01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068292,isolate: AH-321-K03,isolation_source: marine water,1241282,47,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOMD01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068369,isolate: AH-321-P05,isolation_source: marine water,1226820,53,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOPF01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068029,isolate: AH-324-G23,isolation_source: marine water,1039852,62,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOQT01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068058,isolate: AH-324-J21,isolation_source: marine water,1169561,49,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOXH01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068455,isolate: AH-326-E04,isolation_source: marine water,804685,50,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACOYJ01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068490,isolate: AH-326-F21,isolation_source: marine water,861647,57,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACPBT01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6068577,isolate: AH-326-M03,isolation_source: marine water,327433,39,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
CACPFL01,WGS,,ENV,uncultured Prochlorococcus sp.,PRJEB33281,SAMEA6074516,isolate: AG-918-A18,isolation_source: marine water,1072128,60,0,No,0,0,0,No,,,2019-10-30T00:00:00Z,2019-10-30T00:00:00Z
AQPY01,WGS,,BCT,Microcystis aeruginosa PCC 7005,PRJNA74007,SAMN02952947,strain: PCC 7005,,4906446,1363,0,No,0,0,0,No,,,2014-08-05T00:00:00Z,2014-03-25T00:00:00Z
ARCP01,WGS,,BCT,filamentous cyanobacterium ESFC-1,PRJNA165547,SAMN02256433,strain: ESFC-1,,5627135,52,0,No,3,0,5632035,No,KB904821-KB904823,,2013-08-27T00:00:00Z,2013-04-22T00:00:00Z
CBZS01,WGS,,BCT,Richelia intracellularis,PRJEB5207,SAMEA3138990,strain: RC01,,5488377,857,7768,Yes,0,0,0,No,,,2015-10-27T00:00:00Z,2014-04-01T00:00:00Z
CDHJ01,WGS,,BCT,Chrysosporum ovalisporum,PRJEB7262,SAMEA2786506,strain: UAM-MAO,,7467982,9162,2851,Yes,0,0,0,No,,,2015-11-09T00:00:00Z,2015-11-09T00:00:00Z
AAOK01,WGS,,BCT,Synechococcus sp. WH 7805,PRJNA13553,SAMN02436160,strain: WH 7805,,2620367,13,2883,Yes,2,0,2625504,No,CH724168-CH724169,,2013-12-05T00:00:00Z,2006-02-24T00:00:00Z
AANP01,WGS,,BCT,Synechococcus sp. RS9917,PRJNA13555,SAMN02436139,strain: RS9917; RCC556,,2579542,9,2770,Yes,1,0,2584918,No,CH724158-CH724158,,2013-12-05T00:00:00Z,2006-01-30T00:00:00Z
AANO01,WGS,,BCT,Synechococcus sp. WH 5701,PRJNA13554,SAMN02436085,strain: WH 5701,,3043834,135,3346,Yes,9,0,3116283,No,CH724159-CH724167,,2013-12-05T00:00:00Z,2006-02-15T00:00:00Z
ADXM01,WGS,,BCT,Synechococcus sp. CB0205,PRJNA46503,SAMN00010406,strain: CB0205,isolation_source: Chesapeake Bay,2427308,78,0,No,0,0,0,No,,,2013-11-19T00:00:00Z,2010-06-22T00:00:00Z
AEPQ01,WGS,,BCT,Moorea producens 3L,PRJNA60895,SAMN02471690,strain: 3L,,8389417,287,0,No,161,7445,8478612,Yes,GL890815-GL890975,,2014-01-08T00:00:00Z,2011-05-09T00:00:00Z
AESD01,WGS,,BCT,Crocosphaera watsonii WH 0003,PRJNA61839,SAMN02471692,strain: WH 0003,,5890504,1126,6124,Yes,0,0,0,No,,,2014-01-08T00:00:00Z,2011-11-16T00:00:00Z
ANFJ01,WGS,,BCT,Fortiea contorta PCC 7126,PRJNA158817,SAMN02261254,strain: PCC 7126,isolation_source: freshwater aquarium,5742064,5,0,No,3,0,5742264,No,KB235930-KB235932,,2013-07-23T00:00:00Z,2013-01-18T00:00:00Z
ANFQ01,WGS,,BCT,Geitlerinema sp. PCC 7105,PRJNA158727,SAMN02261249,strain: PCC 7105,isolation_source: unialgal culture,6126551,266,0,No,8,0,6152351,No,KB235955-KB235962,,2013-07-23T00:00:00Z,2013-01-18T00:00:00Z
DCNZ01,WGS,,BCT,Cyanobacteria bacterium UBA1583,PRJNA348753,SAMN06453087,isolate: UBA1583,"isolation_source: coral mucus,metagenome_source: coral metagenome",5347630,272,0,No,0,0,0,No,,,2017-09-21T00:00:00Z,2017-09-21T00:00:00Z
DCQC01,WGS,,BCT,Prochlorococcus sp. UBA1528,PRJNA348753,SAMN06457348,isolate: UBA1528,"isolation_source: saline water (ENVO:00002010)\, including plankton (ENVO:xxxxxxxx),metagenome_source: marine metagenome",2059346,195,0,No,0,0,0,No,,,2017-09-21T00:00:00Z,2017-09-21T00:00:00Z
DCSN01,WGS,,BCT,Pseudanabaena sp. UBA1465,PRJNA348753,SAMN06454073,isolate: UBA1465,"isolation_source: water,metagenome_source: microbial mat metagenome",4519811,259,0,No,0,0,0,No,,,2017-09-21T00:00:00Z,2017-09-21T00:00:00Z
DDLS01,WGS,,BCT,Cyanobacteria bacterium UBA2566,PRJNA348753,SAMN06454548,isolate: UBA2566,"isolation_source: coral mucus,metagenome_source: coral metagenome",5339925,210,0,No,0,0,0,No,,,2017-09-22T00:00:00Z,2017-09-22T00:00:00Z
FITM01,WGS,,BCT,Candidatus Synechococcus spongiarum,PRJEB12597,SAMEA3861759,isolate: 1,isolation_source: water,1409475,179,1661,Yes,0,0,0,No,,,2016-07-29T00:00:00Z,2016-07-29T00:00:00Z
DIYQ01,WGS,,BCT,Cyanobacteria bacterium UBA6050,PRJNA348753,SAMN06455371,isolate: UBA6050,"isolation_source: coral mucus,metagenome_source: coral metagenome",5400820,167,0,No,0,0,0,No,,,2017-10-04T00:00:00Z,2017-10-04T00:00:00Z
DIYT01,WGS,,BCT,Cyanobacteria bacterium UBA6047,PRJNA348753,SAMN06450364,isolate: UBA6047,"isolation_source: coral mucus,metagenome_source: coral metagenome",5725904,106,0,No,0,0,0,No,,,2017-10-04T00:00:00Z,2017-10-04T00:00:00Z
DJOE01,WGS,,BCT,Cyanobacteria bacterium UBA6446,PRJNA348753,SAMN06454764,isolate: UBA6446,"isolation_source: feces,metagenome_source: gut metagenome",2018013,24,0,No,0,0,0,No,,,2017-10-04T00:00:00Z,2017-10-04T00:00:00Z
DJQF01,WGS,,BCT,Cyanobacteria bacterium UBA6393,PRJNA348753,SAMN06451117,isolate: UBA6393,"isolation_source: feces,metagenome_source: gut metagenome",1470724,69,0,No,0,0,0,No,,,2017-10-04T00:00:00Z,2017-10-04T00:00:00Z
DFQU01,WGS,,BCT,Richelia intracellularis UBA3481,PRJNA348753,SAMN06452290,isolate: UBA3481,"isolation_source: water,metagenome_source: aquatic metagenome",3211249,100,0,No,0,0,0,No,,,2017-09-27T00:00:00Z,2017-09-27T00:00:00Z
DFRI01,WGS,,BCT,Prochlorococcus sp. UBA3467,PRJNA348753,SAMN06452980,isolate: UBA3467,"isolation_source: saline water (ENVO:00002010)\, including plankton (ENVO:xxxxxxxx),metagenome_source: marine metagenome",2790078,273,0,No,0,0,0,No,,,2017-09-27T00:00:00Z,2017-09-27T00:00:00Z
DFVO01,WGS,,BCT,Candidatus Atelocyanobacterium thalassa UBA4158,PRJNA348753,SAMN06454008,isolate: UBA4158,"isolation_source: saline water (ENVO:00002010)\, including plankton (ENVO:xxxxxxxx),metagenome_source: marine metagenome",1447309,13,0,No,0,0,0,No,,,2017-09-27T00:00:00Z,2017-09-27T00:00:00Z
DFYB01,WGS,,BCT,Cyanobacteria bacterium UBA4093,PRJNA348753,SAMN06456325,isolate: UBA4093,"isolation_source: coal bed cutting,metagenome_source: hydrocarbon metagenome",3824564,63,0,No,0,0,0,No,,,2017-09-27T00:00:00Z,2017-09-27T00:00:00Z
DGBR01,WGS,,BCT,Prochlorococcus sp. UBA3999,PRJNA348753,SAMN06456501,isolate: UBA3999,"isolation_source: Tara Oceans DNA samples corresponding to size fractions for protist,metagenome_source: marine metagenome",1914590,176,0,No,0,0,0,No,,,2017-09-28T00:00:00Z,2017-09-28T00:00:00Z
DGDG01,WGS,,BCT,Richelia sp. UBA3958,PRJNA348753,SAMN06452267,isolate: UBA3958,"isolation_source: microbial mat,metagenome_source: microbial mat metagenome",8011935,424,0,No,0,0,0,No,,,2017-09-28T00:00:00Z,2017-09-28T00:00:00Z
DGDH01,WGS,,BCT,Richelia sp. UBA3957,PRJNA348753,SAMN06452260,isolate: UBA3957,"isolation_source: microbial mat,metagenome_source: microbial mat metagenome",8058255,418,0,No,0,0,0,No,,,2017-09-28T00:00:00Z,2017-09-28T00:00:00Z
DDVE01,WGS,,BCT,Cyanobacteria bacterium UBA2320,PRJNA348753,SAMN06455414,isolate: UBA2320,"isolation_source: flocular biomat,metagenome_source: bioreactor sludge metagenome",5235624,41,0,No,0,0,0,No,,,2017-09-22T00:00:00Z,2017-09-22T00:00:00Z
DEDY01,WGS,,BCT,Cyanobacteria bacterium UBA2892,PRJNA348753,SAMN06454927,isolate: UBA2892,"isolation_source: rumen,metagenome_source: metagenome",1670903,47,0,No,0,0,0,No,,,2017-09-22T00:00:00Z,2017-09-22T00:00:00Z
DEEH01,WGS,,BCT,Cyanobacteria bacterium UBA2883,PRJNA348753,SAMN06457470,isolate: UBA2883,"isolation_source: rumen,metagenome_source: metagenome",2197774,22,0,No,0,0,0,No,,,2017-09-22T00:00:00Z,2017-09-22T00:00:00Z
DEEN01,WGS,,BCT,Cyanobacteria bacterium UBA2877,PRJNA348753,SAMN06453483,isolate: UBA2877,"isolation_source: rumen,metagenome_source: metagenome",1835586,21,0,No,0,0,0,No,,,2017-09-22T00:00:00Z,2017-09-22T00:00:00Z
DEFJ01,WGS,,BCT,Cyanobacteria bacterium UBA2855,PRJNA348753,SAMN06456495,isolate: UBA2855,"isolation_source: rumen,metagenome_source: metagenome",1809289,34,0,No,0,0,0,No,,,2017-09-22T00:00:00Z,2017-09-22T00:00:00Z
DEGT01,WGS,,BCT,Cyanobacteria bacterium UBA2819,PRJNA348753,SAMN06455933,isolate: UBA2819,"isolation_source: rumen,metagenome_source: metagenome",1954761,35,0,No,0,0,0,No,,,2017-09-25T00:00:00Z,2017-09-25T00:00:00Z
